Onderwerp,Toelichting,Kenmerk
"[Onboarden / Woonplaats] Foutmelding bij onboarding: ""Voor land 'D' is de woonplaats 'Elten' niet bekend.""","Probleembeschrijving: Hi Femke, We krijgen de volgende foutmelding bij het doorsturen van een onboarding vanuit salesfore naar Afas: ""externalMessage"": ""Voor land 'D' is de woonplaats 'Elten' niet bekend."", Bij 'landen' bestaat D. En ik heb in test bij een bestaand iemand het adres gewijzigd naar het adres van deze medewerker en de plaats bestaat. Zie jij wat er fout gaat? Groetjes, Wouter Geen aanvullende vragen gesteld.",HRM
"[OHW methode] WIP-methode wijzigen voor projecten met geboekte facturen, foutmelding: journals op verkeerde GL.","Probleembeschrijving: Dear AFAS Helpdesk Team, I hope this message finds you well. Until February, we were manually creating projects in the project environment. However, we recently transitioned to creating projects automatically via API. During this transition, the configuration for the ""Work in Progress"" (WIP) method was set incorrectly. Our process requires selecting the ""No work in progress (0)"" method, as we book most sales invoices to the WIP account. Unfortunately, we later discovered that some projects were mistakenly created with the ""Result based on actual costing (NTF) (2)"" method. As a result, journal entries have been posted to incorrect general ledger accounts. We have already updated the API so that all new projects are now being created with the correct ""No work in progress (0)"" method. For the existing projects, we were able to manually adjust the WIP method where no invoices had yet been posted. However, for some projects where invoices have already been created, we are unable to change the WIP method back to ""No work in progress (0)"". Since project numbers are sensitive and play a critical role in our system, we kindly request your expertise to override this setting and change the WIP method from ""Result based on actual costing (NTF) (2)"" to ""No work in progress (0)"" for the affected projects. We have attached an Excel file listing the relevant project numbers along with supporting screenshots for your reference. ePO10051 ePO10125 ePO10328 ePO10576 ePO10579 ePO10593 ePO10601 ePO10602 ePO10615 ePO10630 ePO9212 Your assistance is essential to ensure the continuity of our daily operations. We would greatly appreciate your support in resolving this matter at your earliest convenience. Thank you very much in advance for your help. Kind Regards Mirold Finance Manager Aanvullende details: - Kun je precies aangeven welke foutmeldingen of beperkingen je tegenkomt bij het wijzigen van de WIP-methode voor projecten waar al facturen zijn geboekt? - Journals landed on the wrong GL - Zijn er specifieke stappen die je hebt geprobeerd om dit probleem op te lossen, en wat waren de resultaten? - Yes some are fixed but rest need AFAS help - Kun je bevestigen of dit probleem zich voordoet bij alle genoemde projectnummers of slechts bij een deel ervan? - only with some",ERP
[Inkoopfactuur | Workflow] Facturen voor administratie 8 komen niet in de workflow bij kloppende verplichting.,"Probleembeschrijving: Factuur komt niet in de workflow bij kloppende verplichting voor specifieke administratie Tijdens het inboeken van facturen via E-factuur > boeken journaalpost krijgen we bij crediteuren met verplichtingen de melding: ""Voor crediteur [CREDITEURNAAM] zijn niet-afgehandelde verplichtingen aanwezig. Wil je deze nu afboeken?"" Als wij op ""ja"" drukken, dan kunnen wij de verplichtingen selecteren. Wat gaat er exact fout Afgelopen week hebben wij 29 facturen ingeboekt van crediteur Adyen, waarvan 14 facturen met een verplichting. In onze instellingen hebben wij ingericht dat als een factuur (met een foutmarge van 2% op het bedrag) overeenkomt met de verplichting, deze uitsluitend goedgekeurd hoeft te worden door de verantwoordelijke. Echter, in administratie 8 (Henri Willig Germany GmbH) zijn er facturen niet in de workflow gekomen. De factuur werden zonder beoordeling goedgekeurd voor betaling en dit is onwenselijk. Voor andere administraties is dit wel correct gegaan. Vraag Kan er bekeken worden wat er fout staat in de instellingen waardoor facturen voor administratie 8 bij een 100% kloppende verplichting niet in de workflow gaan? Het is wenselijk dat de beoordelaar wel de factuur ziet, zoals in andere administraties. Bijlage Bijgevoegd vindt u een lijst met facturen uit administratie 8 van crediteur Adyen. De oranje regels zijn op verplichting geboekt met de pop-up melding. De gele regels zijn tijdens het boeken journaalpost op de verplichting geboekt in het veld verplichting. Aanvullende details: - Zou je kunnen aangeven welke exacte workflow-instellingen er momenteel actief zijn voor administratie 8? - Zover wij kunnen zien is dit niet administratie gebonden. - Is er een specifieke manier waarop de vergelijkingen tussen verplichtingen en facturen zijn ingericht? - Er wordt gekeken naar verplichting status en dan gaat hij naar de stap verplichting - Zijn de workflows zoals gebruikt in administratie 8 vergelijkbaar met die van andere administraties qua instellingen? - Ja dat is dezelfde workflow. De e-factuur workflow",ERP
Zoeken en verwijderen van AFAS ERP Flex gebruikers lukt niet.,"Probleembeschrijving: Wij willen graag weten hoe je de AFAS ERP Flex gebruikers kan vinden, en indien nodig verwijderen. Wij zijn van 15 naar 20 gebruikers gegaan. We willen graag onderzoeken wie dit zijn. Afas Help geeft niet het antwoord. Aanvullende details: - Hoe zoek je momenteel naar de AFAS ERP Flex gebruikers? - bij de authorisatie tool - Heb je al specifieke stappen geprobeerd binnen het systeem? - ja gebruikers verwijderen maar kan niet - Wat heb je zelf al geprobeerd om dit op te lossen en wat werkte niet? - Afas help etc,",Algemeen
[Journaalpost] Grootboekrekening Te betalen loonheffing komt niet overeen met wat er daadwerkelijk afgedragen wordt in de loonaangifte,"Probleembeschrijving: Nog reageren op call nummer 2334664 Aanvullende details: - Waar loop je precies tegenaan? - verschil LH aangifte en aansluiting journaalpost - Kun je meer details geven over call nummer 2334664, zoals de inhoud of het probleem dat besproken wordt? - Graag contact met Tristan Muijs die deze call had opgepakt. We waren nog bezig met uitzoeken, en ik wil daar nog op reageren.",HRM
[Debiteur] Foutmelding bij aanpassen / wijzigen verantwoordelijke verkooprelatie: 'Gekozen voorkeur contact is geblokkeerd'.,"Probleembeschrijving: Wanneer we de verantwoordelijke van een verkooprelatie willen aanpassen (zowel in Insite als in Profit), krijgen we een foutmelding. Aanvullende details: - Waar loop je precies tegenaan? Kun je de foutmelding beschrijven of de tekst ervan delen? - Gekozen 'voorkeur contact' is geblokkeerd - Sinds wanneer speelt dit probleem? - Onbekend - Tot wanneer werkte het nog wel en is er sindsdien iets gewijzigd of aangepast in het systeem? - Onbekend",Algemeen
[Wens] Afwijkende medewerkerscode kan niet aangepast worden via beoordelingspagina bij Onboarden,"Probleembeschrijving: In het oude proces van Medewerker indienst -15 stond het veld 'Afwijkende medewerkerscode' bij het beoordelen op zichtbaar en wijzigbaar. Hierdoor was het mogelijk om een 'afwijkende medewerkerscode' bij het beoordelen in te vullen. In het nieuwe onboardingsprofiel hebben we dezelfde instelling overgenomen in het beoordelingsprofiel. Het resultaat is dat het veld zichtbaar is, maar niet wijzigbaar (zie bijlagen). In een eerdere Profit versie zat een fout in de software omtrent dit veld. Dit was opgelost in Profit 5 (zie opgeleverde POA 430604 Onboarden - Afwijkende medewerkerscode - AFAS Help Center https://help.afas.nl/poa/poa_430604?query=medewerkerscode). Is misschien de werking nog steeds niet correct? We hebben al geprobeerd om het veld zowel in het aanmaak- als beoordelingsprofiel zichtbaar + wijzigbaar te maken. Maar dit heeft niet het gewenst effect. Work-around is om achteraf (als de medewerker geregistreerd is) de medewerkerscode te wijzigen via de actie in Profit. Maar we willen dit graag in de workflow oplossen zodat direct de juiste medewerkerscode wordt verspreid binnen de organisatie. Aanvullende details: - Kun je precies aangeven welke instellingen je hebt toegepast in het beoordelingsprofiel voor het veld 'Afwijkende medewerkerscode'? - In de context van de medewerker voor het beoordeel profiel bij een nieuwe medewerker staat dit veld op zowel ""Zichtbaar"" als ""Wijzigbaar"" - Sinds wanneer speelt dit probleem in de nieuwe onboardingsprofiel? - sinds we het live hebben gezet - Kun je bevestigen of de fout in Profit 5 (POA 430604) daadwerkelijk is opgelost in jouw omgeving? - Nee die is niet opgelost",HRM
[Analyse] Analyse met een overzicht reserveringen vakantietoeslag,"Probleembeschrijving: Goedemorgen, ik wil heel graag een totaalp-overzicht hebben van het saldo vakantiereservering per 31-12-2024 gespecificeerd per medewerker, hoe kan ik dit overzicht krijgen. Ik heb al via de vakantietoeslag analyse geprobeerd, maar daar kom ik niet uit. Ook niet met behulp van de helptekst. Graag uw hulp. Danielle Veddes 0630410302 Geen aanvullende vragen gesteld.",HRM
"[Factuurnummers] Gaten in inkoopfactuurnummering / Ontbrekende inkoopfactuurnummers KF250006226, KF25000632 en KF250006258","Probleembeschrijving: Goedemorgen, In Profit hebben we een controle gedaan op de nummering van de inkoopfacturen. Wat we zien is dat er in maart drie facturen of factuurnummers ontbreken. Het betreft de volgende nummers: KF250006226, KF25000632 EN KF250006258. In de logging van Profit zie ik dat deze facturen niet verwijderd zijn. Vraag is wat er dan wel gebeurd is. Zouden jullie na kunnen kijken wat er terug te vinden is van deze drie inkoopfacturen/factuurnummers? Navraag bij Filelinx heeft geen resultaat opgeleverd. De correspondentie heb ik toegevoegd. Misschien kunnen jullie zien of er iets bijzonders is gebeurd, waardoor de factuurnummers ontbreken. Mijn inziens zijn de facturen niet verwijderd in Profit. Bij voorbaat dank. Mvg, Ronald Aanvullende details: - Kun je aangeven welke stappen je hebt doorlopen om de controle uit te voeren? - Vaststelling verschil nummering op basis van de financiële mutaties. Logdata: - omgeving, logboek en connector bekeken. Geen bijzonderheden. Logboek: logging op verwijderen dossieritem staat aan; vaststelling dat het factuurnummer niet heeft bestaan in Profit. - Kun je bevestigen of de ontbrekende factuurnummers ooit zijn aangemaakt in Profit? - Nee, zijn niet aangemaakt volgens mijn bevindingen. - Kun je toelichten of er specifieke wijzigingen zijn doorgevoerd in Profit of Filelinx die mogelijk invloed hebben gehad op de nummering? - Geen wijzigingen.",ERP
"[verzamelfactuur] Automatisch factureren in administratie 7 genereert geen factuur, geen journalisering.","Probleembeschrijving: Hallo, Gisteravond en zojuist heb ik 2 abonnementsfacturen proberen te versturen vanuit administratie 7, via: Uren/declaraties > Declaratie > Abonnementsfacturen > 4. Automatisch factureren Administratie 7 > Peildatum 07-04-2025 > factuurdatum 07-04-2025 Alle vinkjes aan Volgende> Abonnementen factureren de betreffende regel aangevinkt (Dietistenpraktijk Zwijndrecht > April > Bring Cargo B.V. / project DietZwijndrecht. Echter, is de regel niet zichtbaar in het het abonnementsfacturen overzicht. Het ziet er naaruit dat deze niet verstuurd is. Tevens is deze niet gejournaliseerd. Ik kan periode 4 nu niet opnieuw belasten, want zodra ik opnieuw de abonnementfacturen automatisch wil factureren, is deze periode niet langer beschikbaar. Ook is er geen openstaande post gecreeerd. In de wachtrij, staat alle als succesvol voltooid. Zie bijgaande screenshot. Aanvullende details: - Waar loop je precies tegenaan? - Na automatisch factureren, wordt er geen factuur gemaakt, verzonden en gejournaliseerd. - Wat is de gewenste situatie? - De factuur zou in het overzicht terecht moeten komen, verstuurd moeten worden aan de klant, een journaalpost zou gemaakt moeten worden en de factuur moet als openstaande post zichtbaar zijn. - Welke stappen doorloop je? Voeg hierboven een bijlage toe van het scherm waarin je je bevindt. - Uren/declaraties > Declaratie > Abonnementsfacturen > 4. Automatisch factureren Administratie 7 > Peildatum 07-04-2025 > factuurdatum 07-04-2025 Alle vinkjes aan",ERP
"[e-factuur] Factuur is via e-factuur ingeboekt, maar niet zichtbaar voor betaling.","Probleembeschrijving: Onze financiele man is ziek en wij komen er niet helemaal uit. Wij hebben een openstaande factuur staat bij crediteur niet in openstaande posten ook niet in geblokkeerde facturen, nog te beoordelen facturen, overzicht lijst openstaande saldo crediteur. Komt niet te voorschijn bij betaalopdracht maar factuur is nog niet betaald. HOe krijg ik de factuur zichtbaar en kan ik hem betalen. Aanvullende details: - Kun je aangeven of de factuur in het systeem is ingevoerd en hoe dit precies is gedaan? - via e-factuur is de factuur ingeboekt - Is er een specifieke foutmelding of afwijking zichtbaar wanneer je probeert deze factuur te vinden? - geen foutmelding - Hebben jullie recent wijzigingen aangebracht aan de instellingen van het financiële systeem die mogelijk invloed kunnen hebben op zichtbaarheid van gegevens? - nee geen wijzigingen",ERP
Import itemcode inkooprelatie,,ERP
Monitoren op contractverlenging workflow die te lang open staat,- Signaal bij nieuwe reactie - Statusmail - Signaal voor workflows die te lang open staan,ERP
Zoekweergave artikelen bij inkoopaanvraag,,ERP
Artikelgroepen onderhouden OCI-profiel,,ERP
Rapport inkooporder - itemcode inkooprelatie toevoegen,,ERP
[Loonaangifte] xml bestand loonaangifte,"Probleembeschrijving: Wij zitten met een verzekering bij Centraal Beheer. Elke maand lezen wij daar het XML bestand van de loonaangifte in. Op deze manier heeft de verzekering de juiste gegevens. In Afas kan ik geen XML bestand vinden van de loonaangifte. Aanvullende details: - Kun je precies aangeven waar je zoekt in AFAS voor het XML-bestand van de loonaangifte? - Bij de aangiftes, maar hier zie ik alleen betaalbestanden en overzichten. - Heb je eerder een XML-bestand van de loonaangifte uit AFAS kunnen verkrijgen? - Nee. tot januari 2025 werkt wij in Loket, hier kan ik wel elke maand een XML bestand downloaden. - Kun je aangeven welke stappen je hebt doorlopen om het bestand te vinden? - Gezocht bij de aangiftes en gezocht op HELP. Ik zie wel een bestand over een XML bestand, maar ik kom hier niet uit.",HRM
[Belafspraak 15-04 15:00] Afleveradres wordt niet automatisch overgenomen uit voorcalculatie bij bestelvoorstel.,"Probleembeschrijving: Helpartikel https://help.afas.nl/help/NL/SE/Purchs_Order_Prop_SuppToLoc.htm?query=direct%20leveren is niet correct. Hierin wordt gesteld dat het afleveradres dat gevuld is in de voorcalculatie wordt overgenomen bij het bestelvoorstel. De projectlocatie wordt echter overgenomen. Als ik de voorcalculatie niet aan een project koppel maar wel een afleveradres in de kop vul, dan blijft deze leeg. Het zou wenselijk zijn dat het afleveradres wordt overgenomen uit de kop van de voorcalculatie, echter gebeurt dit niet. Aanvullende details: - Wat is precies het verschil tussen de huidige situatie en de gewenste situatie? - In de huidige situatie moet in de inkooporder alsnog het afleveradres handmatig gevuld worden. Dit terwijl je op basis van het artikel verwacht dat dit automatisch gebeurd. - Kun je bevestigen of het probleem consistent optreedt, ongeacht de specifieke voorcalculatie? - Ja dit komt consistent naar voren - Heb je al geprobeerd om het afleveradres handmatig in te vullen na het genereren van het bestelvoorstel? - Ja, echter is dit weer een handmatige handeling welke je wilt elimineren.",ERP
[Muis klikt niet juist/ op de verkeerde plek in Profit. Hoe kan dit?] Muis reageert onnauwkeurig bij gebruik van 3 schermen met Profit.,"Probleembeschrijving: Goedemiddag, Enkele collega's van ons hebben een nieuwe werkplekindeling waarbij zij gebruik maken van 2x 34"" curved beeldschermen en 1x laptopscherm (dus in totaal 3 schermen). Ik krijg het echter niet voor elkaar om Profit werkend te krijgen wanneer alle beeldschermen aan staan. De instellingen van de schermen heb ik voor het gemak even meegestuurd als bijlage. Wanneer het laptopscherm dichtgeklapt wordt (en er dus nog maar gebruik wordt gemaakt van 2x 34"" curved beeldschermen dan werkt Profit naar behoren. Echter wanneer het laptopscherm open geklapt staat dan klikt de muis niet op de juiste plek. Ik heb de instelling van het volgende artikel gebruikt: https://help.afas.nl/vraagantwoord/NL/SE/98812.htm?query=3%20beeldschermen Ook heb ik dit vraagstuk in de LinkedIn groep gezet. Helaas zonder concreet resultaat https://www.linkedin.com/feed/update/urn:li:activity:7312783883421315074/?commentUrn=urn%3Ali%3Acomment%3A(groupPost%3A2587075-7312783882435637249%2C7313188558113034240)&dashCommentUrn=urn%3Ali%3Afsd_comment%3A(7313188558113034240%2Curn%3Ali%3AgroupPost%3A2587075-7312783882435637249) In het artikel staat ""Werk je met 3 schermen? Dan kan het helpen om één van de schermen uit te schakelen."" Ik vind dit wel erg kort door de bocht. De collega's die hiermee werken gebruiken nu deze oplossing maar de wens is om constant 3 schermen te kunnen gebruiken. Via LinkedIn lees ik dat andere bedrijven deze opstelling ook gebruiken en dat dit gewoon werkt. Ik heb het idee dat het bij ons niet werkt omdat er gebruikt wordt gemaakt van 2x 34"" (wat een abnormale maat is) en een normale laptopschermafmeting. Is het mogelijk om een meekijksessie in te plannen zodat we samen eens de instellingen kunnen doorlopen? Wellicht zie ik iets over het hoofd. Aanvullende details: - Kun je bevestigen of het probleem specifiek is veranderd nadat een bepaalde wijziging aan de hardware of software werd uitgevoerd? - Het probleem is ontstaan nadat de gebruiker zijn geswitched van werkplek. Eerder hadden zij een opstelling met 1x 34"" curved scherm en 1x laptopscherm nu hebben ze 2x 34"" curved scherm en 1x laptopscherm - Hebben jouw collega's met vergelijkbare opstellingen ook dit probleem, en zo ja, wat hebben zij geprobeerd om het op te lossen? - Ja alle gebruikers met deze opstelling hebben dit probleem. Zij hebben dezelfde oplossingen geprobeerd, helaas zonder resultaat. - Merk je dat er bij andere toepassingen dezelfde problemen zijn van muis-onnauwkeurigheid, of beperkt zich dit alleen tot Profit? - Nee dit beperkt zich alleen tot Profit.",Algemeen
"[Facturen | verzonden mail | mailserver] Facturen zijn niet ontvangen door klant sinds 2025, controleer mailserver.","Probleembeschrijving: Hi, Wij hebben een aantal facturen die door de klant niet is ontvangen. Wij hebben alles gecontroleerd en deze zouden eigenlijk verzonden en ontvangen moeten zijn bij de klant. Zouden jullie hier in de mailserver kunnen kijken of er toch iets fout is gegaan? Betreft: Newtone gestuurd naar crediteuren@newtone.nl V08250361 V08250362 V08250363 V08250364 V08250365 V08250366 V08250367 V08250370 V08250357 V08250358 V08250359 Aanvullende details: - Kun je aangeven sinds wanneer de klant deze facturen niet ontvangt? - Sinds 2025 ontvangt deze klant niet alle facturen. - Hebben jullie gecontroleerd of het e-mailadres crediteuren@newtone.nl correct is en actief gebruikt wordt door de ontvanger? - Ja deze is actief en alle andere mailing komt binnen. - Zijn er foutmeldingen ontvangen bij het verzenden van deze facturen via jullie systeem, zoals bounceberichten of andere indicaties dat ze niet zijn afgeleverd? - Geen foutmeldingen of bounce berichten.",ERP
"[Pocket | inloggen mislukt] AFAS-app werkt niet na iPhone-update; inloggen mislukt, ga naar instellingen.","Probleembeschrijving: Goedemiddag, kan het zijn dat na de laatste I-Phone update de AFAS-app niet meer werkt? Aanvullende details: - Kun je precies aangeven wat er niet werkt in de AFAS-app na de iPhone-update? - Inlog mislukt, ga naar instellingen - Sinds wanneer ervaar je dit probleem? - vandaag - Welke versie van iOS heb je momenteel geïnstalleerd op je iPhone? - 18.nog wat",Algemeen
