Onderwerp,Kenmerk
[Medewerker][Weergave] Telefoonnummer(s) medewerker(s) toevoegen aan weergave,HRM
[Aanvullende gegevens] De aanvullende gegevens kunnen niet worden geregistreerd. Het adres is niet volledig en de optie 'Adres aanmaken' staat aan.,HRM
[Verzuim] Gesimuleerde begindatum doorlopend verzuim,HRM
[wens] Verkooporder overzicht toont niet of order volledig voorradig is.,ERP
Aanpassen van BTW-tariefgroep in een gejournaliseerde handmatige verkoopfactuur.,ERP
"Geen ontvangst van inloggegevens voor online cursus AFAS SB, graag opnieuw versturen.",ERP
Maximaal loon voor Premie WN Inhouding onder vlgnr 6 plaatsen?,HRM
Afdeling invullen in samengevoegde boekingsregels is niet mogelijk.,ERP
"Verzoek om factuur voor ontvangen bedrag van €2812,95 zonder koppeling.",ERP
[ABP] Foutmelding: The supplier with IdLcr x is not authorized to submit 1 or more time periods (start date x) in this message for this employer with payroll tax number x The message has not been processed.,HRM
[Loonaangifte][Signaal] Foutcodes L1812 en L1813 door ontbrekende bijtelling privégebruik auto voor werknemer 102803.,HRM
Controle op toevoegen van encrypted document in contractmodule voor ondertekening.,ERP
[Project | OHW | Factuurtermijnen][Optimalisatieproject] Factureren van termijnen na afsluiten project met OHW niet mogelijk.,ERP
Vrij tabblad op sollicitant niet zichtbaar op InSite,HRM
"Aanvraag blijft openstaan na keuze ""klaarzetten voor genereren inkooporder"".",ERP
[Financieel][Debetnota] Debetnota aanmaken op geboekte aankoopfactuur voor betwisting met advocaat.,ERP
"[Analyse] Downloaden van analyses mislukt na voltooien, geen gegevens ontvangen.",Algemeen
[BTW Code] Factuur aanmaken zonder BTW leidt tot melding: vereiste BTW code niet ingericht.,ERP
Eindstand bedrijfsgebouwen/-terreinen komt niet overeen met geconsolideerde eindstand balans.,ERP
[Formatieverdeling] Gebruikersgroep wordt niet correct gekoppeld aan functie Teamleider personeelsadministratie (2130).,HRM
Traagheid van AFAS Profit bij financiële mutaties zonder specifieke foutmeldingen.,Algemeen
"[Wens IPv6] Website sts.afasonline.com is onbereikbaar via IPv6, poort 80 reageert niet.",Algemeen
"Facturen in OutSite tonen die niet als ""Email verwerkt"" of ""Afgedrukt"" zijn gemarkeerd.",Algemeen
"Facturen in OutSite tonen die niet als ""Email verwerkt"" of ""Afgedrukt"" zijn gemarkeerd.",Algemeen
"[Wens] Opmaak van memoveld in contracten wordt niet correct weergegeven in PDF, met rare tekens en lege pagina's.",Algemeen
[Bonnetjes scannen] Herkenning van fake/nep bonnen in AFAS Pocket met nieuw scan en herken functionaliteit.,Algemeen
"[Niet geautoriseerd] Autorisatiefout bij openen dossieritem -107 E-mail signaal, ondanks juiste instellingen.",HRM
Inlezen van CAMT .053 bestanden met overlap in mutaties vanaf 01-10-2024.,ERP
[Outsite] Probleem bij het instellen van certificaat voor OutSite pagina: Het is tijd om het certificaat voor je domein te verlengen. Er is een AAAA record aanwezig op het domein welke verwijst naar een foutief IPv6 adres.,Algemeen
"Fout bij versturen Arbo meldingen: alleen gewijzigde melding verzonden, niet nieuw.",HRM
[Profit BI]Overzicht van gebruikte dashboards in Profit BI voor Omgevingsdienst Zuidoost-Brabant.,HRM
[Profiel] [Instuurder] [Zichtbaar] Velden in het beoordeelprofiel Onboarden zijn niet consistent zichtbaar tijdens het proces.,HRM
Automatische blokkering van gebruikers in klantomgevingen bij uitdiensttreding in moederomgeving.,Algemeen
[Btw-tariefgroep] Foutmelding bij importeren verkoopfactuur: Subquery returned more than 1 value. Veld VaRc,ERP
"Jaarlijks document (Integriteitsverklaring) verzenden aan medewerkers, foutmelding over projectkoppeling.",Algemeen
[FLEX] [prijsafspraak op plaatsing] Inkoopprijs is onterecht nul bij nacalculatie per regel voor kostensoorten.,ERP
AFAS Insite dashboards zijn niet beschikbaar voor meerdere gebruikers.,Algemeen
"[RBI | foutmelding | 403 Forbidden] Foutmelding bij 'Communicatieservice verzenden en ontvangen': HTTP 403 Forbidden, Invalid certificate.",ERP
"[Fout bij Verzenden | SendAsDenied | not allowed to send as]  Verstrekken van inkooporder via Output mislukt, status 'Niet verzonden' bij e-mails.",Algemeen
[Wachtrij] Foutmelding in wachtrij bij taak Journaliseren: Batchservice is gestopt,ERP
[Contactpersoon wijzigen/ InSite] Toegang tot 'Portaltoegang' contactpersoon in InSite niet wijzigbaar.,Algemeen
[SSCC] Keuze uit meerdere SSCC labels bij afdrukken via dropdown-menu.,ERP
[Servicemanagement vervolg] Terugkoppeling over uren bouwplaatsmedewerker in tijdspaarfonds via Afas.,ERP
Waarom ontstaan er automatisch jaaroverschrijdende correctie aangiftes?,HRM
[Pocket] [Profiel] Er zijn geen profielen gevonden voor het aanmaken van een declaratie. Neem contact op met de beheerder.,Algemeen
[Activering ontvangsten journaliseren] Activering 'Ontvangsten journaliseren' aanvragen in testomgeving T65441AA.,ERP
"[btw-code] Foutmelding bij aanmaken verkooporder voor verkooprelatie D05921 en samenstelling S12443: ""BTW plicht moet op 'Verkopen binnen EU (3)' staan.""",ERP
[workflow op basis van signaal] workflow Workflow instellen voor kredietlimietoverschrijding en orderblokkering.,ERP
"[Sluitingstabel] Verwijderen van feestdag 5 mei voor 1 werkgever in de omgeving, hoe doe ik dit?",HRM
[Profit communication center] Verzoek om PCC bestand (pcc.msi) voor systeemmigratie.,Algemeen
[vrij bestandsveld InSite] Extra veld toevoegen aan InSite pagina voor verkoopactie met naam projectcoördinator.,ERP
Foutmelding bij indienen aangifte omzetbelasting zonder verdere informatie.,Algemeen
Vrij veld aanmaken op verbijzonderingscode,ERP
[Citrix] Profit sluit automatisch af na inactiviteit,Algemeen
"[Workflow] Conditie werkt niet zoals verwacht, datumveld 'kleiner dan' (<)  pakt ook lege velden.",Algemeen
[Sollicitatie][Onboarden] Sollicitatie wordt niet automatisch afgehandeld bij registreren Onboarden,HRM
"[Levering I Debiteur I Zichtbaar I Niet] Debiteur heeft geen vervoerder zichtbaar in tab Facturering, mogelijk verborgen.",ERP
[Forecast | Contactmoment] Toelichting Contactmoment Forecast niet zichtbaar in Profit,Algemeen
[Looncomponent] [journalisering] Jaarurenmodel afrekening 2024-2025 mist looncomponent voor uitbetaling.,HRM
[PCC] Activeren van PCC in testomgeving voor Mollie koppeling lukt niet.,ERP
[Sollicitaties verwijderen] Verwijderen van interne sollicitaties van afgewezen kandidaten zonder de gehele sollicitant te verwijderen.,HRM
[Inlogportaal | Inloggen niet mogelijk door foutmelding. Afas.Online.IdentityProvider.Exceptions.IdentityProviderException: identity_error: Return url not found in request.,Algemeen
[Onboarden] Document indienst niet te koppelen in de workflow,HRM
"[Wens][Pocket] Verzoek om vrij veld toe te voegen aan AFAS Insite, Wie is Wie voor medewerkers.",HRM
"[boekings-programma kan niet worden gestart] Geen balie/directiefactuur aanmaken, foutmelding: ""Boekingsprogramma kan niet worden gestart.""",ERP
[Loginanalyse] Informatie ophalen over de laatste inlogmomenten van gebruikers in AFAS.,ERP
[Contractbeheer] [Verkoop] Geen contractenmodule voor de verkoopkant binnen Finance,ERP
Omlijning afbeelding in rapport blijft staan ook al wordt deze verwijderd. Het lijkt erop dat de settings niet worden opgeslagen.,ERP
[Flex | reserveringen | zzp | uitzendkracht] Uitzendkracht kan opgebouwde reserveringen niet ontvangen na switch naar zzp'er.,Algemeen
"Foutmelding bij herindienst melding: ""De ingevulde waarde voor het veld 'werkgever' bestaat niet.""",HRM
[Wettelijk verlof][Langer geldig] Instellen van wettelijk verlof voor langdurig zieke werknemer zonder vervaldatum.,HRM
[Declaratie] Favoriete dienstreis krijgt de verkeerde al opgeslagen datum mee.,HRM
[Soort medewerker] Kan je nieuwe waarde toevoegen aan de tabel Soort medewerker?,HRM
"[BTW Aangifte l Onderdrukken] Aangifte Btw/icp maart definitief, niet verzenden en handmatig indienen.",ERP
"[pakbon | artikelinstellingen project doorbelasten] Factuur genereert niet alle regels van pakbonnen, twee regels ontbreken.",ERP
[projectprofiel] Gebruik van twee verschillende factuurlayouts binnen één administratie op basis van project.,ERP
Proefberekening vanaf juni 2025 geeft te hoge premie zonder franchise.,HRM
Ontvangstboeken uitschakelen voor inkooporderregels in InSite.,ERP
[vrij veld] Toevoegen van tekstveld voor uitgebreide artikelomschrijving in ordermanagement.,ERP
[Import | fin mutatie] Foutmelding bij financiële conversie: 'Object variable or With block variable not set' bij inlezen mutaties dagboek 15.,ERP
[Gebruikerscode] [Gewijzigd] Geen data zichtbaar op Insite. Taken niet zichtbaar.,Algemeen
"[PCC] Bijlages van facturen worden niet geopend op Werk-PC, verschijnen ineens in Downloads-map Privé-PC.",Algemeen
"[Pensioenaangifte] Foutmelding: unexpected response received after calling LOY upa service"".",HRM
[Profiel] Functiewijziging toont oude en nieuwe opmerking gelijktijdig bij beoordelen.,HRM
[e-factuur UBL] Verwerken van UBL-factuur mislukt door onbekende crediteur; geen aanpassingen mogelijk.,ERP
Loonheffingsverklaring (-169) wordt niet overgenomen in Belastingdienst instantiegegevens.,HRM
[Import Export] Aanpassen weergave datum projectbegroting van 01-01-2023 naar 01-01-2025.,ERP
"[E-factuur] Foutmelding bij inboeken XML inkoopfactuur: ""Aantal maal prijs wijkt af van regelbedrag""",ERP
"[Insite] Invulformulier op OutSite verzendt geen e-mail na indienen, berichtsjabloon niet aangeboden.",HRM
"[ESS / Dossier / Pocket] Veld 'Medewerker' in Pocket app verplicht handmatig invullen, kan dit automatisch?",Algemeen
[Rest-koppeling | connector | internal 500 server error] Foutmelding bij het oproepen van de connectoren: Server error: Rest services geven nu 500 melding bij alleen token als plain tekst als authorization header,ERP
[Payroll Auditor] Parttimer met overuren terwijl de medewerker fulltimer is,HRM
"Ophalen van velden 'bewaartermijnen', 'aantal jaren' en 'peildatum' in analyse.",Algemeen
[import] Foutmelding bij openen of importeren van verkooprelaties: specifieke instellingen voor landwetgeving 'BE' controleren.,Algemeen
[Rest-koppeling | connector | internal 500 server error] Foutmelding bij het oproepen van de connectoren: Server error: Rest services geven nu 500 melding bij alleen token als plain tekst als authorization header,Algemeen
[PowerBI] [Versie] Versie van Power BI Desktop voor compatibiliteit met templates: Kan de sjabloon niet openen. X is incompatibel met uw huidige versie van Microsoft Power BI Desktop.,Algemeen
[Wet verbetering poortwachter] Geen signalen voor periodieke evaluatie bij medewerker met verzuimtype Z.,HRM
[Wens] [powerBI] Aanpassen van de variabelenaam in de PowerBI URL voor project ID.,ERP
"Foutmelding bij workflow onboarden: 'Verantwoordelijke' bestaat niet, selecteer waarde.",HRM
[SSCC] [Tekst] SSCC labels tonen opmerkingenveld als barcode in plaats van tekst,ERP
Verzamelloonstaat per persoon per periode genereren in AFAS.,HRM
Aanpassen van bestemming op Inside-pagina werkt niet na publicatie.,Algemeen
"[E-factuur] Dubbelklikken op UBL-documenten opent e-facturen verwerken, niet PDF-eigenschappen.",ERP
[Shared mailbox] [Gedeelde postvakken] Vastleggen vanuit Outlook met de invoegtoepassing van E-Mail in Office 365 op een gedeeld postvak werkt niet,Algemeen
"[installatie citrix] Citrix installatie levert andere gegevens dan in video, hulp gevraagd.",Algemeen
"Verlofprioritering per CAO instellen, maar wordt toegepast in alle cao's",HRM
[Autorisatierol] Persoonlijke rol of tijdelijke rol medewerker importeren of via connector updaten,HRM
"[Rapport | verkooprelatieprofiel] Vertaling komt niet goed door in offerte, voorbeeld: Artikel cockpit = Special TAVA/Time out (SP00173).",Algemeen
Zoeken naar profielinstellingen voor forecast in AFAS Profit.,Algemeen
[Inrichting] Opslaan van PDF als bijlage onder dossieritem in project lukt niet.,Algemeen
"Ouderverlofaanvragen zijn niet zichtbaar voor teamleads, controleer workflows.",HRM
[Draaiboek sollicitant] Is het vanaf Profit 6 mogelijk om vrije dossieritems te gebruiken vanuit draaiboek sollicitant?,HRM
[Wachtrij] Loonstrook via wachtrij automatisch verstrekken geeft fout | The operation has timed out.,HRM
"[Plaatsing | versie] Foutmelding bij plaatsingen in klantovereenkomst, consistent bij specifieke plaatsingen. Object variable or With block variable not set",Algemeen
"Wachten op printerverbinding bij het starten van de Omgeving, herhaaldelijk.",Algemeen
[Foutmelding] Foutmelding bij financiële mutaties in inkoopboeking: kan niet verder met Profit.  Cannot call Arrange on a UIElement with infinite size.,ERP
"Aanpassen van periodetabel van ""4 weken Financieel"" naar ""Maand Financieel"" niet mogelijk.",ERP
[Mailserver] [Entra] Koppelen van een aparte Entra-ID voor de testomgeving is niet mogelijk.,Algemeen
"Pakbon kan niet vrijgegeven worden na gereedmelding, hoe dit op te lossen?",ERP
"Fout bij verzenden van BTW-aangifte, geen specifieke foutmelding gegeven.",ERP
"[Contractverlening] Aanpassen van fte per dag bij medewerker niet mogelijk, velden zijn uitgegrijsd | Standaard rooster",HRM
[Vervoermiddel] Kilometerstand uitvragen geeft foutmelding: De einddatum van het leasecontract mag niet kleiner zijn dan de einddatum van het vervoermiddel contract bij medewerker X,HRM
[Digipoort] Geen VIA-gegevens ophalen bij het openen van IB 2024.,ERP
"[icp-aangifte | verzenden mislukt] Foutmelding bij versturen ICP-aangifte: ""Het is - met de huidige verzendstatus - niet toegestaan de aangifte te verwijderen.""",ERP
XBRL is ongeldig bij indienen IB-aangifte 2024 door taxonomie regels.,ERP
[Client IB | Partner | Accountancyportal] Toegang tot accountancyportal voor parteraangifte.,ERP
Aanpassen van 5 mei als nationale feestdag in de cao instellingen.,HRM
Foutmelding bij openen beoordeelpagina onboard (-170): The given key 'Z30' was not present in the dictionary.,HRM
Afgekeurde contracten zijn niet zichtbaar voor alle inkopers in 'Alle afgekeurde contracten in de workflow'.,ERP
ING bankkoppeling voor SB ondernemen,ERP
Rechten HR Support in AFAS voor mailen naar HR en Directie zonder toegang tot dossier/salaris.,Algemeen
[Pocket] [Verzuimverloop] Vrij veld 'Diagnosecode' wordt niet getoond in AFAS Pocket app.,Algemeen
Instellen verzamelmethode 'verplichting per inkooporderregel' in profiel en boekingslay-out.,ERP
Foutmelding bij genereren signaal: Inserted value does not meet the length requirements for field 'Zakelijk mailadres' (U72F43447955140DD8A56A870CAE6A50C). Max length = 30,HRM
"InSite publiceert niet correct in testomgeving T91899TV, foutmelding ""niet gevonden"".",Algemeen
[Bijlage] [Overzicht] Diploma in InSite openen lukt niet; regel met bijlage is niet klikbaar.,HRM
[back-up | terugzetten] Herstel van verwijderde financiële mutaties en terugzetten back-up vóór 18-04-2025.,ERP
Verliesverrekening Bellagio Beheermaatschappij NV in aangifte 2023 Kokobel BV ontbreekt.,ERP
"Foutmelding bij maken van GetConnector met logtabel voor inkooporder. "" Cannot find getconnector fields.""",ERP
[Proforma] Hogere premie bij proefberekening pensioen,HRM
Hoe zie ik waar een inkoopfacturenworkflow is blijven hangen,ERP
Instellen van LC 1034 voor uitbetaling waarde vakantieuren werkt niet zoals verwacht.,HRM
Aanpassen afschrijvingsvoorwaarden voor meerdere hardware-activa met verschillende aanschafperiodes.,ERP
Afstand woon-werk wordt niet automatisch bijgewerkt in looncomponent bij onboarden.,HRM
Foutmelding bij indienen BTW: 'Neem contact op met support' veroorzaakt door correcties.,ERP
Fout bij verzenden van aangiften BTW/ICP: foutmelding verschijnt na stappen in Communicatieservice.,Algemeen
[PCC] POCI-instellingen opslaan. Lokale schijf niet zichtbaar,HRM
[Blokkering] XML-generatie voor administratie 99 geannuleerd; aangifte opent niet meer.,ERP
[Export I Weergave I Verkoop I Dagboek] Exporteren van verkoopjournaalregels naar Excel vanuit financiële mutaties.,ERP
[Geldigheidscombinaties] Uitsluiten van ongewenste urensoorten bij uren schrijven op project.,ERP
Profit AVG anonimiseren testomgeving,Algemeen
[btw-code | btw-tariefgroep] Kan geen concept aanmaken dat vrijgesteld is van BTW; bestaande concepten zijn gewijzigd naar vrijgesteld.,ERP
"[Cookies] Toegang geweigerd tot Portal Medewerker Keuzemodel in sitebeheer na selectie. Foutmelding: ""U heeft geen toegang tot (dit deel van) deze website.""",Algemeen
[export e-factuur] Exporteren van alle geboekte e-facturen als losse PDF-bestanden.,Algemeen
[GetConnector I Leeg] Getconnect 'Prijslijst per Debiteur' geeft alleen output voor datum vandaag.,Algemeen
Voorkeurwaarden management tool werken niet door bij Updateconnector KnPurchaseRelationOrg,Algemeen
"[Projecten | termijnfactuur] Foutieve btw-berekening bij factuurtermijnen, inclusief en exclusief bedragen kloppen niet.",ERP
"[Vrije tabel] 'Reden einde Arbeidsovereenkomst' niet zichtbaar, verplicht veld foutmelding.",HRM
[Koppeling | Woomerce] Verwerken van ZV-artikelen in AFAS en tonen als 'op voorraad' in WOO. Artikelen zonder voorraad moeten voorraad hebben vanuit koppeling. Is dit in te richten?,ERP
"[vrij veld] Contactpersoon op factuur blijft zichtbaar, ondanks pogingen tot verwijdering.",ERP
[Contract] Werkgever 'Personeel Niet in Loondienst' kan niet gewijzigd worden naar 'Stichting Versa Welzijn'; naam blijft grijs.,HRM
[licentie] Aanpassen van AFAS-abonnement door afsluiten van onzichtbare testomgeving en gebruikersaantal verlagen.,ERP
[weergave aanpassen] Aanpassing van weergave in rekeningoverzicht en openstaande posten naar aantal dagen openstaand.,ERP
[Cao gemeente][Ouderschapsverlof] Overgang van betaald ouderschapsverlof naar aanvullend verlof met verschillende doorbetalingspercentages. Wat te doen met historische aanvragen en TWK's?,HRM
[Gebruiker / Medewerker / Persoon] Mogelijkheid om de werkgeverprefix bij medewerkernummering ook door te laten werken op de persoonsnummering en gebruikerscode,HRM
"[Looncomponent] Kopiëren looncomponent niet mogelijk ""onderhoud door AFAS (niet kopieerbaar)""",HRM
"[Onboarden] Actieknop 'Registreren onboarden' is niet zichtbaar in de workflow, hoe kan dit?",HRM
Documenten niet zichtbaar in onboarden workflow voor toevoeging bijlage.,HRM
"[Template looncomponent] Bruto bonus telt in op pensioengrondslag, hoe kunnen wij ervoor zorgen dat dit niet gebeurt?",HRM
"Bestemmingen in workflow onboarden werken niet, sollicitatie komt niet langs.",HRM
"[Bellen 19-05] Facturen afletteren bij boeken in AFAS Profit na wijziging, kan dit uitgezet worden?",Algemeen
[Onboarden] Verplicht veld bij beoordelen ondanks context 'Geen adres (Profit)' zonder adresgegevens.,HRM
Samenstelling C-MILL Miditower-63136_C vraagt voorraadbehoefte zonder open order.,ERP
Samenstelling C-MILL Miditower-63136_C vraagt voorraadbehoefte zonder open order.,ERP
[Wens | Afschrijvingstermijn]  Instellen van afschrijvingstermijn in maanden bij Vaste activa.,ERP
"[Land wetgeving administratie] Wijzig land wetgeving van administratie O32892AA van NL naar DE, keuze niet mogelijk.",ERP
[Inkoopfactuur | workflow procuratieschema] Inkoopfactuur in Insite blijft hangen bij tweede beoordelaar zonder dat deze bestaat.,ERP
[ADV OSV] Hoe werkt OSV (ouderschapsverlof) in combinatie met verlofopbouw op basis van aanvullende roosteruren,HRM
[Abonnement | Factuurdatum] Klaarzetten abonnementsregels krijgt een andere factuurdatum dan ingegeven bij de wizard.,ERP
[Geplande taak][Verstrekking loonstrook] Tijdstip aanpassen automatisch versturen loonstroken,HRM
[Inrichting InSite] Overzicht met Plaatsingen (type dossieritem -101) kan niet worden weergegeven.,Algemeen
Onjuiste BTW-aangifte bij ICL levering naar UK van 61 € ondanks correcties.,ERP
"[Gebruiker][Mailadres]Aanpassen mailadres voor portal mislukt, e-mailadres al in gebruik.",HRM
Verwijderen van een nieuw aangemelde medewerker zonder verloning: instructies en acties.,HRM
[Citrix Workspace Detecteren] ik kan niet inloggen omdat ik bijgaand scherm krijg,Algemeen
[RABO] Fout bij verzenden: specifieke handeling mislukt zonder wijzigingen in software of omgeving.,Algemeen
"[Foutmelding][OutSite] Inloggen op AFAS OutSite lukt, maar documenten openen geeft ""Fout: er is iets misgegaan"". exception_message : Loading chunk 570 failed.",HRM
[Pensioen][Aangifte] Uitsluiten stagiair van UPA aangifte BPL Pensioenfonds met terugwerkende kracht vanaf 20-08-2024.,HRM
We hebben veel gebruikers met foutmeldingen in insite of traagheid. Ook loopt Profit vast bij sommige gebruikers,Algemeen
"[confronteren] Foutmelding bij confronteren: ""De ingevulde waarde voor veld 'Factuurnummer intern' bestaat niet.""",ERP
[Project | nacalculatieregels] Aanpassen van nacalculatieregels in project leidt tot foutmelding.,ERP
Verbijzonderingscode ***** wordt automatisch aangemaakt bij journaliseren salarisverwerkingsperiode zonder boeking.,Algemeen
ID-check verplicht stellen voor sollicitanten in profielinstellingen.,HRM
"[Betaalbestand] Foutmelding ""het bestand kan niet worden weggeschreven op de aangegeven locatie""",HRM
[Jaarovergang rapporten erf/schenk] Jaarovergang 2024/2025 kan niet aangevinkt worden in Erfbelasting 2025,ERP
[Signaal / Workflow / Toelichting] Aanpassen toelichting bij taak voor wagenpark in Insite.,HRM
"[blokkade] Btw/icp-aangifte opent niet in administratie, meerdere gebruikers ervaren dit.",ERP
